time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-10-07 00:00:00+00:00,1,1,167,10
2023-10-08 00:00:00+00:00,1,1,147,12
2023-10-09 00:00:00+00:00,2,1,55,24
2023-10-10 00:00:00+00:00,0,0,38,15
2023-10-11 00:00:00+00:00,0,0,15,12
2023-10-12 00:00:00+00:00,1,1,125,15
2023-10-13 00:00:00+00:00,4,1,43,13
2023-10-14 00:00:00+00:00,2,2,69,12
2023-10-15 00:00:00+00:00,4,3,72,11
2023-10-16 00:00:00+00:00,1,1,51,17
2023-10-17 00:00:00+00:00,2,2,173,16
2023-10-18 00:00:00+00:00,5,4,74,14
2023-10-19 00:00:00+00:00,3,3,58,19
2023-10-20 00:00:00+00:00,1,1,33,14
2023-10-21 00:00:00+00:00,2,1,11,6
2023-10-22 00:00:00+00:00,1,1,7,7
2023-10-23 00:00:00+00:00,0,0,21,9
2023-10-24 00:00:00+00:00,2,2,73,13
2023-10-25 00:00:00+00:00,5,3,142,30
2023-10-26 00:00:00+00:00,2,2,83,14
2023-10-27 00:00:00+00:00,1,1,68,14
2023-10-28 00:00:00+00:00,2,1,56,14
2023-10-29 00:00:00+00:00,2,2,24,9
2023-10-30 00:00:00+00:00,5,2,46,16
2023-10-31 00:00:00+00:00,4,3,133,12
2023-11-01 00:00:00+00:00,14,3,56,12
2023-11-02 00:00:00+00:00,1,1,19,12
2023-11-03 00:00:00+00:00,3,1,45,13
2023-11-04 00:00:00+00:00,2,1,8,6
2023-11-05 00:00:00+00:00,2,2,29,10
2023-11-06 00:00:00+00:00,1,1,10,10
2023-11-07 00:00:00+00:00,1,1,114,17
2023-11-08 00:00:00+00:00,2,1,15,11
2023-11-09 00:00:00+00:00,0,0,164,8
2023-11-10 00:00:00+00:00,2,2,53,16
2023-11-11 00:00:00+00:00,0,0,54,9
2023-11-12 00:00:00+00:00,0,0,143,14
2023-11-13 00:00:00+00:00,0,0,10,8
2023-11-14 00:00:00+00:00,0,0,7,5
2023-11-15 00:00:00+00:00,0,0,53,13
2023-11-16 00:00:00+00:00,1,1,15,9
2023-11-17 00:00:00+00:00,1,1,9,9
2023-11-18 00:00:00+00:00,0,0,44,9
2023-11-19 00:00:00+00:00,1,1,22,8
2023-11-20 00:00:00+00:00,1,1,5,5
2023-11-21 00:00:00+00:00,1,1,65,14
2023-11-22 00:00:00+00:00,2,2,18,10
2023-11-23 00:00:00+00:00,12,1,36,13
2023-11-24 00:00:00+00:00,0,0,62,13
2023-11-25 00:00:00+00:00,18,4,33,11
2023-11-26 00:00:00+00:00,2,2,11,9
2023-11-27 00:00:00+00:00,1,1,5,3
2023-11-28 00:00:00+00:00,1,1,106,9
2023-11-29 00:00:00+00:00,1,1,22,9
2023-11-30 00:00:00+00:00,3,3,34,12
2023-12-01 00:00:00+00:00,2,1,19,8
2023-12-02 00:00:00+00:00,3,2,25,12
2023-12-03 00:00:00+00:00,3,1,21,6
2023-12-04 00:00:00+00:00,0,0,32,13
2023-12-05 00:00:00+00:00,1,1,62,10
2023-12-06 00:00:00+00:00,4,4,123,13
